component,cv_var,log_var_range,mean_var,min_var,max_var
comp_3,2.3395722,5.8027563,4.056918,0.21443896,71.02459
comp_0,1.4235051,4.66496,3.5831618,0.23512383,24.961054
comp_4,1.3068162,4.5031943,4.001087,0.3406603,30.763367
comp_2,1.2307147,5.6857686,5.664311,0.14865653,43.80078
comp_1,0.92056984,4.448874,4.42913,0.22765271,19.471272
