segment,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9
49,-3.9812152,1.8668947,5.500779,3.903333,6.1314464,2.3059516,-6.7125897,3.3467073,7.0409036,-1.164937
50,-0.5066474,1.5184097,-1.68113,2.9581523,5.7936254,2.2888525,-5.1602807,4.2591305,5.288068,1.1375989
51,-1.3896812,2.4183176,3.6312728,6.403448,5.010665,1.871093,-8.398195,-0.13094431,8.2751875,-0.14730722
52,-3.0848105,0.46304494,-0.51963073,-0.013946386,9.374858,4.602061,-11.301458,2.3453794,4.832267,0.9431733
53,-2.2947376,1.0635737,-0.59013236,2.3254864,5.838648,4.369178,-5.858755,2.3826282,6.272626,2.5995157
54,-1.200743,2.362098,3.0745113,5.0395417,3.8486104,1.6787387,-5.3046107,3.847553,4.108513,0.52118385
55,-2.129289,0.3902802,0.49913424,1.1411288,2.4550815,2.1321988,-2.7754326,-0.6981551,3.2401752,-0.38786665
56,-4.6489477,2.4838877,-1.6652507,1.5224154,4.958071,5.7346973,-3.6233478,1.8509581,0.77578807,1.2054483
57,-9.256087,6.254859,2.7798529,2.6690493,8.432242,10.228823,-7.6740136,-0.3033816,1.1697992,-1.7349085
58,-2.196571,1.147178,0.1020733,1.0175648,3.3570397,5.2244163,-5.945982,0.16493924,2.8985426,4.5383925
59,-4.172827,-0.4029887,3.949922,0.7480675,3.8319182,1.1403021,-6.289695,-1.1695527,2.608923,0.31027362
60,-0.05302697,0.3010923,1.060332,3.4346411,3.5668614,1.9494047,-8.133653,3.9842904,3.125565,3.0291708
