component,corr_market_ret,corr_abs_market_ret
comp_1,0.32615963912853063,0.3076192146609791
comp_2,0.31539352974249546,0.006951890905171191
comp_9,0.27882968183089996,0.16929168777787923
comp_3,0.22980059057097552,0.09462309517086911
comp_8,0.2179779175739362,0.40574425576086276
comp_5,0.1921047836805375,0.02119539601537813
comp_7,0.1325710663416043,0.038521884748372676
comp_4,0.12953076643608438,-0.29731403338416557
comp_0,0.041093207733712896,0.10874657683613187
comp_6,-0.1525504899139391,-0.3517399722826624
